TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,21;;-3,69;0,96;0,35;30,10;1,60;-22,81;52,49;93,40;40,90;0,75;0,84;-4,34;-0,46;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;531.309,27;8,58;-2,22;-0,04;971.184.019,36
ABCB4;23,97;6,58;5,86;0,99;0,10;25,50;17,06;15,50;5,32;5,32;;;0,91;-2,77;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;17.045.922,36;24,15;4,09;-0,32;5.679.358.221,12
ABEV3;12,48;5,85;13,04;2,18;1,43;50,30;22,59;18,29;10,56;9,81;-0,75;-0,15;2,38;53,04;-1,96;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;342.376.031,45;5,73;0,96;0,86;196.607.839.384,32
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,68;;-7,72;1,04;0,22;12,62;9,03;-3,39;2,90;6,41;3,51;1,26;0,26;1,03;-0,68;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;3.146.405,95;0,66;-0,09;-0,04;844.834.674,44
AESB3;10,47;;39,94;1,41;0,32;35,54;28,78;4,90;6,80;16,76;9,96;2,06;1,96;19,30;-0,38;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;29.691.252,27;7,43;0,26;-0,59;6.302.178.946,17
AFLT3;7,58;3,46;15,61;1,83;1,53;57,31;45,58;44,72;15,31;14,94;-0,38;-0,05;6,98;15,67;-1,90;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.885,27;4,15;0,49;-0,21;478.182.026,00
AGRO3;23,88;13,45;9,56;1,12;0,70;30,65;20,17;20,86;9,89;11,74;1,85;0,21;1,99;3,42;-1,14;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;9.809.520,64;21,40;2,50;-0,22;2.452.080.642,72
AGXY3;1,80;2,20;-1,22;0,30;0,04;12,31;3,90;-2,43;0,76;3,35;2,59;1,03;0,03;1,35;-0,18;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;505.245,23;6,00;-1,48;0,00;307.484.980,20
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
